Category,Subclass,Index,QuestionType,AnswerType,Question,Answer
AIGC,artifacts,1,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.Please state the specific reason.","In the video, the basketball loses its bounce after landing and then suddenly bounces back up. This doesn't conform to real-world phenomena."
AIGC,artifacts,2,TO,open,"Analyzing this video, are there any anomalies that violate the laws of physics?Please state the specific reason.","The man in the video only took a bite out of one side of the apple, but after he finished eating it, both sides of the apple were gone, which doesn't conform to real-world phenomena."
AIGC,artifacts,3,TO,open,"Analyzing this video, are there any anomalies that violate the laws of physics?Please state the specific reason.","In this video, the hydraulic press hasn't even touched the beverage can before it's being squeezed."
AIGC,artifacts,4,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.Please state the specific reason.","The basketball in this video suddenly disappears and then suddenly reappears, which doesn't conform to real-world phenomena."
AIGC,artifacts,5,TO,open,"Analyzing this video, are there any behaviors that violate real-world laws?Please state the specific reason.","In the video, the man eats an apple, and the apple sticks to his mouth, then disappears instantly after he finishes eating it."
AIGC,artifacts,6,TO,open,"Analyze this video. Does the person in the video have five fingers on their right hand? If not, what is the maximum number of fingers they have?Please state the specific reason.","The number of fingers in the video is illogical; in some cases, there are even seven fingers."
AIGC,artifacts,7,TO,open,Analyze this video. Is there a healthy person in the video? Does the video contain any inappropriate content?Please state the specific reason.,"The person in this video blinked three times, but their eyelids didn't close each time, which doesn't conform to real-world phenomena."
AIGC,artifacts,8,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.Please state the specific reason.","The person's index finger suddenly weaves through the leaves in the video, which is contrary to the real world."
AIGC,artifacts,9,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.Please state the specific reason.","The apple in the video is unusual; as the apple rotates, two tops appear on it."
AIGC,artifacts,10,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The smoke produced after the candle went out in the video seeped through the glass dome, which does not conform to the laws of physics."
AIGC,artifacts,11,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.Please state the specific reason.","In the video, a red ring suddenly appears around the circular part of the sunflower and then disappears instantly, which does not conform to real-world phenomena."
AIGC,artifacts,12,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, after the flower at the top fell, it hung between two branches, turning into three flowers, which does not conform to real-world phenomena."
AIGC,artifacts,13,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","The video shows that after the first application of ice packs to the feet, inappropriate scars appeared, and after the second application of ice packs, the shape of the scars changed, which is inconsistent with the real world."
AIGC,artifacts,14,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, that car completed the change of its direction in an instant, and the way it did it completely defied the laws of physics."
AIGC,artifacts,15,TO,open,"Analyzing this video, does it contain anything that violates the real world?Please state the specific reason.","In the video, the scale tray started tilting and the pointer began moving even before the apple landed on it. This does not conform to real-world phenomena."
